hostname,mx_domain
abnamro.com,messagelabs.com
accor.com,iphmx.com
grupoacs.com,outlook.com
aholddelhaize.com,outlook.com
adevinta.com,google.com
adeccogroup.com,outlook.com
adidas-group.com,outlook.com
adyen.com,adyen.com
aegon.nl,pphosted.com
aena.es,aena.es
aercap.com,messagelabs.com
zeiss.de,retarus.com
ageas.com,pphosted.com
airbus.com,myeers.net
airliquide.com,googlemail.com
airliquide.com,google.com
arkema.com,outlook.com
akzonobel.com,outlook.com
alcon.com,outlook.com
alfalaval.com,outlook.com
alstom.com,outlook.com
allianz.com,pphosted.com
dassault-aviation.com,dassault-aviation.com
dassault-aviation.com,dassault-aviation.fr
amadeus.com,outlook.com
ambu.com,outlook.com
amundi.com,credit-agricole.fr
andritz.com,trendmicro.eu
argenx.com,mimecast.com
asml.com,outlook.com
assaabloy.com,outlook.com
aroundtown.de,pphosted.com
altice.net,altice.net
altice.net,outlook.com
atlascopco.com,outlook.com
atlantia.com,outlook.com
atos.net,outlook.com
axa.com,pphosted.com
metroag.de,metro.info
juliusbaer.com,juliusbaer.com
baloise.com,outlook.com
barry-callebaut.com,google.com
barry-callebaut.com,googlemail.com
basf.com,outlook.com
bayer.de,outlook.com
bbva.com,google.com
bcv.ch,bcv.ch
beiersdorf.de,outlook.com
biomerieux.fr,outlook.com
bankinter.com,pphosted.com
bmwgroup.com,iphmx.com
brenntag.com,pphosted.com
boliden.com,outlook.com
bollore.com,outlook.com
bouygues.com,outlook.com
bureauveritas.fr,bureauveritas.fr
caixabank.com,pphosted.com
credit-agricole.com,credit-agricole.fr
capgemini.com,iphmx.com
carlsberggroup.com,mimecast.com
carrefour.com,pphosted.com
commerzbank.de,commerzbank.com
cocacolaep.com,ascio.com
richemont.com,pphosted.com
chr-hansen.com,chr-hansen.com
chr-hansen.com,outlook.com
cellnextelecom.com,iphmx.com
groupebpce.com,bpce-it.fr
cnhindustrial.com,pphosted.com
cnp.fr,cnp.fr
coloplast.dk,outlook.com
colruytgroup.com,mailcontrol.com
continental-corporation.com,outlook.com
camparigroup.com,outlook.com
unicreditgroup.eu,iphmx.com
credit-suisse.com,credit-suisse.com
covivio.eu,outlook.com
danone.com,pphosted.com
danskebank.dk,danskebank.com
3ds.com,pphosted.com
deutsche-boerse.com,deutsche-boerse.com
deutsche-boerse.com,clearstream.com
db.com,db.com
demant.com,outlook.com
deliveryhero.com,google.com
deliveryhero.com,googlemail.com
diasorin.com,google.com
diasorin.com,googlemail.com
dnb.no,pphosted.com
dpdhl.com,iphmx.com
dsm.com,messagelabs.com
dsv.com,iphmx.com
telekom.com,telekom.de
deutsche-wohnen.com,outlook.com
edenred.com,pphosted.com
edf.fr,edf.fr
edp.com,outlook.com
elia.be,elia.be
elisa.fi,elisa.fi
ems-group.com,emsservices.ch
enagas.es,outlook.com
enel.com,pphosted.com
engie.com,pphosted.com
eni.com,iphmx.com
eon.com,outlook.com
faurecia.com,faurecia.com
epirocgroup.com,cscdns.net
equinor.com,outlook.com
eqtgroup.com,google.com
ericsson.com,outlook.com
erstegroup.com,pphosted.com
essilorluxottica.com,outlook.com
